"Modulo_Macula","Modulo_Periferia","Jaccard"
"red","palevioletred3",0.171040925266904
"lightcyan1","palevioletred3",0.170138888888889
"thistle2","magenta4",0.170099667774086
"thistle2","turquoise",0.169881556683587
"saddlebrown","brown2",0.16984213391399
"magenta","thistle",0.169577205882353
"brown","mediumorchid",0.168921530730576
"brown","yellowgreen",0.16878123798539
"green","yellowgreen",0.168402082498999
"blue","yellowgreen",0.168250950570342
"thistle2","brown2",0.168100595632032
"lightcyan1","brown",0.167762502490536
"greenyellow","brown2",0.167647970251007
"black","brown2",0.167646307181191
"pink","palevioletred3",0.167098750883809
"thistle2","palevioletred3",0.166984126984127
"skyblue","mediumpurple2",0.166666666666667
"saddlebrown","yellowgreen",0.166253101736973
"skyblue","magenta4",0.166035353535354
"lightcyan1","black",0.165523996082272
"orange","brown2",0.164912280701754
"saddlebrown","thistle",0.164419087136929
"yellow","yellowgreen",0.164030131826742
"orange","brown",0.163876304904471
"magenta","palevioletred3",0.163223140495868
"orange","palevioletred3",0.163087248322148
"cyan","mediumpurple2",0.162800687285223
"blue","mediumorchid",0.16238828674653
"lightcyan1","blue2",0.162295893122217
"lightcyan1","blue",0.160880096891401
"lightcyan1","orange",0.160704457897633
"brown4","mediumorchid",0.160699417152373
"lightcyan1","darkorange",0.160675381263617
"turquoise","yellowgreen",0.160556926330631
"black","magenta4",0.160396542958821
"lightcyan1","cyan",0.160343270099368
"lightcyan1","thistle",0.160326086956522
"yellow","mediumorchid",0.160188679245283
"lightcyan1","magenta4",0.16017316017316
"orange","lavenderblush3",0.158461538461538
"red","thistle",0.158125273762593
"lightcyan1","lightcoral",0.157982261640798
"lightgreen","palevioletred3",0.157788944723618
"lightcyan1","thistle1",0.156589147286822
"turquoise","mediumorchid",0.156343744485618
"brown4","orange",0.155704697986577
"green","thistle",0.154543622808785
"brown4","darkred",0.154006243496358
"pink","magenta4",0.153846153846154
"pink","brown2",0.153700638448806
"magenta","magenta4",0.153223942685463
"brown4","darkorange",0.152676801057502
"green","palevioletred3",0.152463651050081
"brown4","lightcyan",0.151351351351351
"magenta","brown2",0.151221761180267
"blue","palevioletred3",0.150918133129304
